"No.","Time","Source","Destination","Protocol","Length","Info"
"39","5.263809","10.10.10.198","224.0.0.251","MDNS","139","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question"
"40","5.263809","fe80::1ce3:1565:cc5a:7f93","ff02::fb","MDNS","159","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question"
"41","5.565022","10.10.10.105","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"42","6.591469","10.10.10.118","239.255.255.250","SSDP","431","NOTIFY * HTTP/1.1 "
"43","6.591932","10.10.10.118","239.255.255.250","SSDP","440","NOTIFY * HTTP/1.1 "
"44","6.592254","10.10.10.118","239.255.255.250","SSDP","483","NOTIFY * HTTP/1.1 "
"45","6.597612","10.10.10.118","239.255.255.250","SSDP","431","NOTIFY * HTTP/1.1 "
"46","6.597612","10.10.10.118","239.255.255.250","SSDP","440","NOTIFY * HTTP/1.1 "
"47","6.597612","10.10.10.118","239.255.255.250","SSDP","483","NOTIFY * HTTP/1.1 "
"48","6.597612","10.10.10.118","239.255.255.250","SSDP","511","NOTIFY * HTTP/1.1 "
"49","6.597612","10.10.10.118","239.255.255.250","SSDP","511","NOTIFY * HTTP/1.1 "
"50","6.693579","10.10.10.118","239.255.255.250","SSDP","497","NOTIFY * HTTP/1.1 "
"51","6.701597","10.10.10.118","239.255.255.250","SSDP","497","NOTIFY * HTTP/1.1 "
"52","6.701597","10.10.10.118","239.255.255.250","SSDP","495","NOTIFY * HTTP/1.1 "
"53","6.702262","10.10.10.118","239.255.255.250","SSDP","495","NOTIFY * HTTP/1.1 "
"54","7.109293","RuckusWirele_0a:34:c0","Broadcast","0x99ea","367","Ethernet II"
"55","7.518806","10.10.10.105","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"56","8.740480","10.10.10.149","224.0.0.251","MDNS","124","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _rdlink._tcp.local, ""QU"" question PTR _sleep-proxy._udp.local, ""QU"" question"
"57","8.742807","fe80::1013:b465:7bcf:a70d","ff02::fb","MDNS","144","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _rdlink._tcp.local, ""QU"" question PTR _sleep-proxy._udp.local, ""QU"" question"
"58","9.558430","10.10.10.105","224.0.0.251","MDNS","96","Standard query 0x0006 PTR _spotify-social-listening._tcp.local, ""QM"" question"
"59","9.558930","fe80::b877:e4ff:fe5f:565f","ff02::fb","MDNS","116","Standard query 0x0006 PTR _spotify-social-listening._tcp.local, ""QM"" question"
"60","9.663031","10.10.10.149","224.0.0.251","MDNS","124","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question"
"61","9.665221","fe80::1013:b465:7bcf:a70d","ff02::fb","MDNS","144","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question"
"62","10.377629","10.10.10.105","10.10.10.255","UDP","82","57621  >  57621 Len=40"
"63","10.428464","20.42.144.52","10.10.10.10","TLSv1.2","113","Application Data"
"64","10.429998","10.10.10.10","20.42.144.52","TLSv1.2","120","Application Data"
"65","10.505319","20.42.144.52","10.10.10.10","TCP","60","443  >  54956 [ACK] Seq=60 Ack=67 Win=251 Len=0"
"66","10.515067","10.10.10.10","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"67","10.562689","10.10.10.10","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"68","11.527664","10.10.10.10","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"69","11.574114","10.10.10.10","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"70","12.118960","10.10.10.251","10.10.10.255","UDP","387","36075  >  60000 Len=345"
"71","12.325552","10.10.10.92","224.0.0.251","IGMPv2","46","Membership Report group 224.0.0.251"
"72","12.325552","10.10.10.92","224.0.0.251","MDNS","124","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _rdlink._tcp.local, ""QU"" question PTR _sleep-proxy._udp.local, ""QU"" question"
"73","12.325552","fe80::104c:d4eb:b572:29cb","ff02::fb","MDNS","144","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _rdlink._tcp.local, ""QU"" question PTR _sleep-proxy._udp.local, ""QU"" question"
"74","12.531598","10.10.10.10","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"75","12.578275","10.10.10.10","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"76","12.736287","10.10.10.149","224.0.0.251","MDNS","124","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question"
"77","12.738327","fe80::1013:b465:7bcf:a70d","ff02::fb","MDNS","144","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question"
"78","13.041098","10.10.10.118","239.255.255.250","SSDP","431","NOTIFY * HTTP/1.1 "
"79","13.041501","10.10.10.118","239.255.255.250","SSDP","440","NOTIFY * HTTP/1.1 "
"80","13.042505","10.10.10.118","239.255.255.250","SSDP","483","NOTIFY * HTTP/1.1 "
"81","13.042505","10.10.10.118","239.255.255.250","SSDP","511","NOTIFY * HTTP/1.1 "
"82","13.154380","10.10.10.118","239.255.255.250","SSDP","497","NOTIFY * HTTP/1.1 "
"83","13.350476","10.10.10.92","224.0.0.251","MDNS","124","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question"
"84","13.534925","10.10.10.10","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"85","13.581545","10.10.10.10","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"86","13.901579","10.10.10.10","10.10.10.255","DB-LSP-DISC/JSON","216","Dropbox LAN sync Discovery Protocol, JSON"
"87","15.604992","10.10.10.118","239.255.255.250","SSDP","431","NOTIFY * HTTP/1.1 "
"88","15.604992","10.10.10.118","239.255.255.250","SSDP","440","NOTIFY * HTTP/1.1 "
"89","15.604992","10.10.10.118","239.255.255.250","SSDP","483","NOTIFY * HTTP/1.1 "
"90","15.604992","10.10.10.118","239.255.255.250","SSDP","511","NOTIFY * HTTP/1.1 "
"91","15.605813","10.10.10.118","239.255.255.250","SSDP","497","NOTIFY * HTTP/1.1 "
"92","15.705686","10.10.10.118","239.255.255.250","SSDP","495","NOTIFY * HTTP/1.1 "
"93","16.321697","10.10.10.92","224.0.0.251","MDNS","124","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question"
"94","16.321697","fe80::104c:d4eb:b572:29cb","ff02::fb","MDNS","144","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question"
"95","16.842755","10.10.10.198","224.0.0.251","IGMPv2","46","Membership Report group 224.0.0.251"
"96","16.842755","10.10.10.198","224.0.0.251","MDNS","139","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _homekit._tcp.local, ""QU"" question PTR _rdlink._tcp.local, ""QU"" question PTR _sleep-proxy._udp.local, ""QU"" question"
"97","16.842755","fe80::1ce3:1565:cc5a:7f93","ff02::fb","MDNS","159","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _homekit._tcp.local, ""QU"" question PTR _rdlink._tcp.local, ""QU"" question PTR _sleep-proxy._udp.local, ""QU"" question"
"98","16.903738","31.13.89.53","10.10.10.10","TLSv1.2","333","Application Data"
"99","16.955137","10.10.10.10","31.13.89.53","TCP","54","54790  >  443 [ACK] Seq=70 Ack=351 Win=259 Len=0"
"100","16.989552","10.10.10.10","31.13.89.53","TLSv1.2","126","Application Data"
"101","17.040898","RuckusWirele_0a:34:c0","Broadcast","0x99ea","367","Ethernet II"
"102","17.044553","10.10.10.251","10.10.10.255","UDP","387","36075  >  60000 Len=345"
"103","17.105657","31.13.89.53","10.10.10.10","TCP","60","443  >  54790 [ACK] Seq=351 Ack=142 Win=314 Len=0"
"104","17.862454","10.10.10.198","224.0.0.251","MDNS","139","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question"
"105","17.862454","fe80::1ce3:1565:cc5a:7f93","ff02::fb","MDNS","159","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question"
"106","18.653554","104.215.78.13","10.10.10.10","TLSv1.2","812","Application Data"
"107","18.653885","10.10.10.10","104.215.78.13","TCP","54","55009  >  443 [ACK] Seq=1 Ack=759 Win=1024 Len=0"
"108","20.640969","10.10.10.10","188.172.214.47","TCP","78","54656  >  5938 [PSH, ACK] Seq=1 Ack=1 Win=510 Len=24"
"109","20.698832","188.172.214.47","10.10.10.10","TCP","60","5938  >  54656 [ACK] Seq=1 Ack=25 Win=878 Len=0"
"110","20.698832","188.172.214.47","10.10.10.10","TCP","78","5938  >  54656 [PSH, ACK] Seq=1 Ack=25 Win=878 Len=24"
"111","20.750394","10.10.10.10","188.172.214.47","TCP","54","54656  >  5938 [ACK] Seq=25 Ack=25 Win=510 Len=0"
"112","20.823514","10.10.10.198","224.0.0.251","MDNS","139","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question"
"113","20.825188","fe80::1ce3:1565:cc5a:7f93","ff02::fb","MDNS","159","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question"
"114","21.296056","40.79.132.142","10.10.10.10","TCP","60","8883  >  55008 [FIN, ACK] Seq=1 Ack=1 Win=501 Len=0"
"115","21.296348","10.10.10.10","40.79.132.142","TCP","54","55008  >  8883 [ACK] Seq=1 Ack=2 Win=259 Len=0"
"116","21.296894","10.10.10.10","40.79.132.142","TCP","54","55008  >  8883 [FIN, ACK] Seq=1 Ack=2 Win=259 Len=0"
"117","21.481004","40.79.132.142","10.10.10.10","TCP","60","8883  >  55008 [ACK] Seq=2 Ack=2 Win=501 Len=0"
"118","21.756540","10.10.10.10","9.9.9.9","DNS","84","Standard query 0x90dc A EURO02.azure-devices.net"
"119","21.786177","10.10.10.10","8.8.8.8","DNS","84","Standard query 0x90dc A EURO02.azure-devices.net"
"120","21.832995","10.10.10.10","20.7.2.167","TLSv1.2","97","Application Data"
"121","21.835773","9.9.9.9","10.10.10.10","DNS","187","Standard query response 0x90dc A EURO02.azure-devices.net CNAME gateway-prod-gw-francecentral-2-tls10-g2.francecentral.cloudapp.azure.com A 40.79.132.142"
"122","21.839781","10.10.10.10","40.79.132.142","TCP","66","55010  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"123","21.840130","8.8.8.8","10.10.10.10","DNS","187","Standard query response 0x90dc A EURO02.azure-devices.net CNAME gateway-prod-gw-francecentral-2-tls10-g2.francecentral.cloudapp.azure.com A 40.79.132.142"
"124","21.981848","20.7.2.167","10.10.10.10","TLSv1.2","228","Application Data"
"125","22.037374","10.10.10.10","20.7.2.167","TCP","54","54666  >  443 [ACK] Seq=44 Ack=175 Win=509 Len=0"
"126","22.051551","10.10.10.251","10.10.10.255","UDP","387","36075  >  60000 Len=345"
"127","22.059026","40.79.132.142","10.10.10.10","TCP","66","443  >  55010 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1412 SACK_PERM WS=128"
"128","22.059326","10.10.10.10","40.79.132.142","TCP","54","55010  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0"
"129","22.061193","10.10.10.10","40.79.132.142","TLSv1.2","266","Client Hello (SNI=euro02.azure-devices.net)"
"130","22.299579","40.79.132.142","10.10.10.10","TCP","60","443  >  55010 [ACK] Seq=1 Ack=213 Win=64128 Len=0"
"131","22.302310","40.79.132.142","10.10.10.10","TLSv1.2","1466","Server Hello"
"132","22.302310","40.79.132.142","10.10.10.10","TCP","1466","443  >  55010 [PSH, ACK] Seq=1413 Ack=213 Win=64128 Len=1412 [TCP segment of a reassembled PDU]"
"133","22.302310","40.79.132.142","10.10.10.10","TLSv1.2","712","Certificate, Server Key Exchange, Server Hello Done"
"134","22.302971","10.10.10.10","40.79.132.142","TCP","54","55010  >  443 [ACK] Seq=213 Ack=2825 Win=131072 Len=0"
"135","22.306898","10.10.10.10","40.79.132.142","TLSv1.2","147","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"136","22.488502","40.79.132.142","10.10.10.10","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"137","22.490436","10.10.10.10","40.79.132.142","TLSv1.2","293","Application Data"
"138","22.666484","40.79.132.142","10.10.10.10","TLSv1.2","307","Application Data"
"139","22.667644","10.10.10.10","40.79.132.142","TLSv1.2","528","Application Data"
"140","22.870474","10.10.10.105","224.0.0.251","MDNS","119","Standard query 0x0006 PTR _CC1AD845._sub._googlecast._tcp.local, ""QM"" question PTR _CC32E753._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"141","22.885736","40.79.132.142","10.10.10.10","TCP","60","443  >  55010 [ACK] Seq=3787 Ack=1019 Win=64128 Len=0"
"142","24.579522","10.10.10.10","52.112.107.137","TLSv1.2","112","Application Data"
"143","24.627359","52.112.107.137","10.10.10.10","TLSv1.2","101","Application Data"
"144","24.673498","10.10.10.10","52.112.107.137","TCP","54","54640  >  443 [ACK] Seq=59 Ack=48 Win=510 Len=0"
"145","25.240172","31.13.89.53","10.10.10.10","TLSv1.2","124","Application Data"
"146","25.287093","10.10.10.10","31.13.89.53","TCP","54","54790  >  443 [ACK] Seq=142 Ack=421 Win=259 Len=0"
"147","25.696030","10.10.10.10","188.172.214.47","TCP","78","54656  >  5938 [PSH, ACK] Seq=25 Ack=25 Win=510 Len=24"
"148","25.870371","188.172.214.47","10.10.10.10","TCP","60","5938  >  54656 [ACK] Seq=25 Ack=49 Win=878 Len=0"
"149","28.026178","Intel_1e:c4:27","Broadcast","ARP","42","Who has 10.10.10.254? Tell 10.10.10.10"
"150","28.028394","Sonicwall_1b:3a:38","Intel_1e:c4:27","ARP","60","10.10.10.254 is at c0:ea:e4:1b:3a:38"
"151","28.034773","fe80::1c40:4983:1cea:1e20","ff02::1:ff1b:3a38","ICMPv6","86","Neighbor Solicitation for fe80::c2ea:e4ff:fe1b:3a38 from 60:dd:8e:1e:c4:27"
"152","28.036645","fe80::c2ea:e4ff:fe1b:3a38","fe80::1c40:4983:1cea:1e20","ICMPv6","86","Neighbor Advertisement fe80::c2ea:e4ff:fe1b:3a38 (rtr, sol, ovr) is at c0:ea:e4:1b:3a:38"
"153","29.528552","10.10.10.105","224.0.0.251","MDNS","96","Standard query 0x0007 PTR _spotify-social-listening._tcp.local, ""QM"" question"
"154","29.529042","fe80::b877:e4ff:fe5f:565f","ff02::fb","MDNS","116","Standard query 0x0007 PTR _spotify-social-listening._tcp.local, ""QM"" question"
"155","29.833829","10.10.10.198","224.0.0.251","MDNS","139","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question"
"156","29.995570","10.10.10.10","31.13.89.53","TLSv1.2","123","Application Data"
"157","30.024587","31.13.89.53","10.10.10.10","TCP","60","443  >  54790 [ACK] Seq=421 Ack=211 Win=314 Len=0"
"158","30.077204","31.13.89.53","10.10.10.10","TLSv1.2","125","Application Data"
"159","30.120505","10.10.10.10","31.13.89.53","TCP","54","54790  >  443 [ACK] Seq=211 Ack=492 Win=259 Len=0"
"160","30.857598","10.10.10.90","224.0.0.251","IGMPv2","46","Membership Report group 224.0.0.251"
"161","31.984147","10.10.10.90","224.0.0.251","MDNS","124","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question"
"162","31.984688","fe80::89c:9e92:da05:78cb","ff02::fb","MDNS","144","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question"
"163","32.090642","10.10.10.251","10.10.10.255","UDP","387","36075  >  60000 Len=345"
"164","32.507398","162.125.21.3","10.10.10.10","TLSv1.2","172","Application Data"
"165","32.508115","10.10.10.10","162.125.21.3","TLSv1.2","100","Application Data"
"166","32.509305","10.10.10.10","162.125.21.3","TLSv1.2","85","Encrypted Alert"
"167","32.515826","10.10.10.10","9.9.9.9","DNS","76","Standard query 0x834f A bolt.dropbox.com"
"168","32.537064","10.10.10.10","8.8.8.8","DNS","76","Standard query 0x834f A bolt.dropbox.com"
"169","32.556604","9.9.9.9","10.10.10.10","DNS","113","Standard query response 0x834f A bolt.dropbox.com CNAME bolt.v.dropbox.com A 162.125.21.3"
"170","32.568156","10.10.10.10","162.125.21.3","TCP","66","55011  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"171","32.601062","162.125.21.3","10.10.10.10","TCP","60","443  >  54665 [ACK] Seq=119 Ack=47 Win=202 Len=0"
"172","32.605107","162.125.21.3","10.10.10.10","TLSv1.2","85","Encrypted Alert"
"173","32.605107","162.125.21.3","10.10.10.10","TCP","60","443  >  54665 [RST, ACK] Seq=150 Ack=79 Win=202 Len=0"
"174","32.605431","10.10.10.10","162.125.21.3","TCP","54","54665  >  443 [RST, ACK] Seq=79 Ack=150 Win=0 Len=0"
"175","32.648576","8.8.8.8","10.10.10.10","DNS","113","Standard query response 0x834f A bolt.dropbox.com CNAME bolt.v.dropbox.com A 162.125.21.3"
"176","32.690266","162.125.21.3","10.10.10.10","TCP","66","443  >  55011 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=512"
"177","32.690394","10.10.10.10","162.125.21.3","TCP","54","55011  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0"
"178","32.691789","10.10.10.10","162.125.21.3","TLSv1.2","424","Client Hello (SNI=bolt.dropbox.com)"
"179","32.886222","162.125.21.3","10.10.10.10","TCP","60","443  >  55011 [ACK] Seq=1 Ack=371 Win=65536 Len=0"
"180","32.886222","162.125.21.3","10.10.10.10","TLSv1.2","178","Server Hello, Change Cipher Spec, Encrypted Handshake Message"
"181","32.888054","10.10.10.10","162.125.21.3","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"182","32.889272","10.10.10.10","162.125.21.3","TLSv1.2","1466","Application Data, Application Data, Application Data"
"183","32.889272","10.10.10.10","162.125.21.3","TCP","1466","55011  >  443 [ACK] Seq=1834 Ack=125 Win=131072 Len=1412 [TCP segment of a reassembled PDU]"
"184","32.889272","10.10.10.10","162.125.21.3","TLSv1.2","1144","Application Data"
"185","32.977616","162.125.21.3","10.10.10.10","TCP","60","443  >  55011 [ACK] Seq=125 Ack=1834 Win=65536 Len=0"
"186","32.977616","162.125.21.3","10.10.10.10","TCP","66","[TCP Dup ACK 185#1] 443  >  55011 [ACK] Seq=125 Ack=1834 Win=65536 Len=0 SLE=3246 SRE=4336"
"187","32.977616","162.125.21.3","10.10.10.10","TCP","60","443  >  55011 [ACK] Seq=125 Ack=4336 Win=63488 Len=0"
"188","32.977616","162.125.21.3","10.10.10.10","TLSv1.2","138","Application Data"
"189","32.978251","10.10.10.10","162.125.21.3","TLSv1.2","92","Application Data"
"190","33.043291","Intel_1e:c4:27","Broadcast","ARP","42","Who has 10.10.10.254? Tell 10.10.10.10"
"191","33.052341","fe80::c2ea:e4ff:fe1b:3a38","fe80::1c40:4983:1cea:1e20","ICMPv6","86","Neighbor Solicitation for fe80::1c40:4983:1cea:1e20 from c0:ea:e4:1b:3a:38"
"192","33.052624","fe80::1c40:4983:1cea:1e20","fe80::c2ea:e4ff:fe1b:3a38","ICMPv6","86","Neighbor Advertisement fe80::1c40:4983:1cea:1e20 (sol, ovr) is at 60:dd:8e:1e:c4:27"
"193","33.073030","Sonicwall_1b:3a:38","Intel_1e:c4:27","ARP","60","10.10.10.254 is at c0:ea:e4:1b:3a:38"
"194","33.102587","162.125.21.3","10.10.10.10","TCP","60","443  >  55011 [ACK] Seq=209 Ack=4374 Win=66560 Len=0"
"195","33.179726","fe80::1c40:4983:1cea:1e20","ff02::1:ff1b:3a38","ICMPv6","86","Neighbor Solicitation for fe80::c2ea:e4ff:fe1b:3a38 from 60:dd:8e:1e:c4:27"
"196","33.183977","fe80::c2ea:e4ff:fe1b:3a38","fe80::1c40:4983:1cea:1e20","ICMPv6","86","Neighbor Advertisement fe80::c2ea:e4ff:fe1b:3a38 (rtr, sol, ovr) is at c0:ea:e4:1b:3a:38"
"197","35.056062","10.10.10.90","224.0.0.251","MDNS","124","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question"
"198","36.892922","31.13.89.53","10.10.10.10","TLSv1.2","242","Application Data"
"199","36.914333","10.10.10.10","31.13.89.53","TLSv1.2","126","Application Data"
"200","36.961793","31.13.89.53","10.10.10.10","TCP","60","443  >  54790 [ACK] Seq=680 Ack=283 Win=314 Len=0"
"201","37.321710","RuckusWirele_0a:34:c0","Broadcast","0x99ea","367","Ethernet II"
"202","37.321710","10.10.10.251","10.10.10.255","UDP","387","36075  >  60000 Len=345"
"203","38.796516","10.10.10.10","35.236.71.176","TCP","55","54962  >  443 [ACK] Seq=1 Ack=1 Win=507 Len=1 [TCP segment of a reassembled PDU]"
"204","38.852367","35.236.71.176","10.10.10.10","TCP","66","443  >  54962 [ACK] Seq=1 Ack=2 Win=249 Len=0 SLE=1 SRE=2"
"205","39.766808","10.10.10.81","224.0.0.251","MDNS","267","Standard query response 0x0000 PTR, cache flush MacBook-Pro-de-Cesar-3.local PTR, cache flush MacBook-Pro-de-Cesar-3.local NSEC, cache flush A.E.5.1.C.9.2.B.3.6.F.4.4.E.4.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 81.10.10.10.in-addr.arpa OPT"
